city,temperature,weather_description,humidity,wind_speed,weather_datetime,region_id,region_name,carbon_intensity,carbon_forecast,carbon_average,generation_mix,carbon_datetime,latitude,longitude
Inverness,0.95,broken clouds,100,1.03,1/22/25 5:56,1,National,282,288.0,very high,,2025-01-22T05:30Z,57.4791,-4.224
Edinburgh,0.09,clear sky,88,1.81,1/22/25 5:56,2,National,282,288.0,very high,,2025-01-22T05:30Z,55.9521,-3.1965
Manchester,4.18,mist,94,1.03,1/22/25 5:56,3,National,282,288.0,very high,,2025-01-22T05:30Z,53.4809,-2.2374
Newcastle upon Tyne,0.12,few clouds,100,1.03,1/22/25 5:56,4,National,282,288.0,very high,,2025-01-22T05:30Z,54.9733,-1.614
Sheffield,3.81,overcast clouds,91,1.34,1/22/25 5:56,5,National,282,288.0,very high,,2025-01-22T05:30Z,53.383,-1.4659
Liverpool,3.03,mist,97,1.54,1/22/25 5:55,6,National,282,288.0,very high,,2025-01-22T05:30Z,53.4106,-2.9779
Cardiff,2.76,mist,95,2.57,1/22/25 5:51,7,National,282,288.0,very high,,2025-01-22T05:30Z,51.48,-3.18
Birmingham,-7.53,scattered clouds,63,2.57,1/22/25 5:57,8,National,282,288.0,very high,,2025-01-22T05:30Z,33.5207,-86.8025
Nottingham,1.19,mist,93,1.03,1/22/25 5:51,9,National,282,288.0,very high,,2025-01-22T05:30Z,52.9536,-1.1505
Cambridge,-18.87,clear sky,76,6.17,1/22/25 6:00,10,National,282,288.0,very high,,2025-01-22T05:30Z,43.3601,-80.3127
Bristol,-10.1,overcast clouds,63,2.24,1/22/25 5:51,11,National,282,288.0,very high,,2025-01-22T05:30Z,41.8334,-71.1662
Southampton,3.45,overcast clouds,97,2.84,1/22/25 5:51,12,National,282,288.0,very high,,2025-01-22T05:30Z,50.904,-1.4043
London,2.65,broken clouds,93,1.54,1/22/25 5:51,13,National,282,288.0,very high,,2025-01-22T05:30Z,51.5085,-0.1257
Brighton,3.47,light rain,97,0.45,1/22/25 5:50,14,National,282,288.0,very high,,2025-01-22T05:30Z,50.8284,-0.1395
Leeds,4.32,overcast clouds,95,1.14,1/22/25 5:49,15,National,282,288.0,very high,,2025-01-22T05:30Z,53.7964,-1.5477
Glasgow,0.17,overcast clouds,96,1.03,1/22/25 5:48,16,National,282,288.0,very high,,2025-01-22T05:30Z,55.8652,-4.2576
Swansea,3.0,overcast clouds,94,2.41,1/22/25 5:51,17,National,282,288.0,very high,,2025-01-22T05:30Z,51.6208,-3.9432
Inverness,3.12,overcast clouds,90,2.06,1/22/25 22:16,1,National,244,253.0,high,,2025-01-22T21:30Z,57.4791,-4.224
Edinburgh,2.93,broken clouds,88,1.03,1/22/25 22:12,2,National,244,253.0,high,,2025-01-22T21:30Z,55.9521,-3.1965
Manchester,4.07,mist,90,1.54,1/22/25 22:11,3,National,244,253.0,high,,2025-01-22T21:30Z,53.4809,-2.2374
Newcastle upon Tyne,2.12,scattered clouds,100,1.03,1/22/25 22:16,4,National,244,253.0,high,,2025-01-22T21:30Z,54.9733,-1.614
Sheffield,4.89,scattered clouds,90,2.02,1/22/25 22:16,5,National,244,253.0,high,,2025-01-22T21:30Z,53.383,-1.4659
Liverpool,4.13,light intensity drizzle,95,2.06,1/22/25 22:17,6,National,244,253.0,high,,2025-01-22T21:30Z,53.4106,-2.9779
Cardiff,3.16,mist,93,2.57,1/22/25 22:13,7,National,244,253.0,high,,2025-01-22T21:30Z,51.48,-3.18
Birmingham,3.29,few clouds,19,0.0,1/22/25 22:14,8,National,244,253.0,high,,2025-01-22T21:30Z,33.5207,-86.8025
Nottingham,3.35,scattered clouds,92,3.6,1/22/25 22:12,9,National,244,253.0,high,,2025-01-22T21:30Z,52.9536,-1.1505
Cambridge,-13.27,overcast clouds,71,6.23,1/22/25 22:12,10,National,244,253.0,high,,2025-01-22T21:30Z,43.3601,-80.3127
Bristol,-8.93,clear sky,48,1.13,1/22/25 22:07,11,National,244,253.0,high,,2025-01-22T21:30Z,41.8334,-71.1662
Southampton,3.2,broken clouds,93,0.0,1/22/25 22:17,12,National,244,253.0,high,,2025-01-22T21:30Z,50.904,-1.4043
London,3.86,broken clouds,87,3.09,1/22/25 22:14,13,National,244,253.0,high,,2025-01-22T21:30Z,51.5085,-0.1257
Brighton,2.35,overcast clouds,91,7.28,1/22/25 22:17,14,National,244,253.0,high,,2025-01-22T21:30Z,50.8284,-0.1395
Leeds,3.89,broken clouds,94,3.6,1/22/25 22:08,15,National,244,253.0,high,,2025-01-22T21:30Z,53.7964,-1.5477
Glasgow,3.11,overcast clouds,94,1.03,1/22/25 22:13,16,National,244,253.0,high,,2025-01-22T21:30Z,55.8652,-4.2576
Swansea,5.43,scattered clouds,86,1.3,1/22/25 22:17,17,National,244,253.0,high,,2025-01-22T21:30Z,51.6208,-3.9432
Inverness,3.12,broken clouds,90,0.0,1/22/25 23:30,1,National,231,233.0,high,,2025-01-22T23:00Z,57.4791,-4.224
Edinburgh,3.0,overcast clouds,87,1.03,1/22/25 23:29,2,National,231,233.0,high,,2025-01-22T23:00Z,55.9521,-3.1965
Manchester,3.97,mist,90,1.03,1/22/25 23:24,3,National,231,233.0,high,,2025-01-22T23:00Z,53.4809,-2.2374
Newcastle upon Tyne,2.12,scattered clouds,100,1.03,1/22/25 23:26,4,National,231,233.0,high,,2025-01-22T23:00Z,54.9733,-1.614
Sheffield,4.34,scattered clouds,90,2.14,1/22/25 23:30,5,National,231,233.0,high,,2025-01-22T23:00Z,53.383,-1.4659
Liverpool,3.81,broken clouds,95,2.06,1/22/25 23:30,6,National,231,233.0,high,,2025-01-22T23:00Z,53.4106,-2.9779
Cardiff,3.16,mist,96,2.06,1/22/25 23:30,7,National,231,233.0,high,,2025-01-22T23:00Z,51.48,-3.18
Birmingham,0.07,clear sky,29,0.59,1/22/25 23:26,8,National,231,233.0,high,,2025-01-22T23:00Z,33.5207,-86.8025
Nottingham,3.33,scattered clouds,91,2.28,1/22/25 23:26,9,National,231,233.0,high,,2025-01-22T23:00Z,52.9536,-1.1505
Cambridge,-13.12,overcast clouds,77,6.69,1/22/25 23:29,10,National,231,233.0,high,,2025-01-22T23:00Z,43.3601,-80.3127
Bristol,-11.44,clear sky,61,0.89,1/22/25 23:26,11,National,231,233.0,high,,2025-01-22T23:00Z,41.8334,-71.1662
Southampton,3.34,overcast clouds,94,3.23,1/22/25 23:26,12,National,231,233.0,high,,2025-01-22T23:00Z,50.904,-1.4043
London,2.93,overcast clouds,89,3.6,1/22/25 23:20,13,National,231,233.0,high,,2025-01-22T23:00Z,51.5085,-0.1257
Brighton,2.5,overcast clouds,89,6.59,1/22/25 23:25,14,National,231,233.0,high,,2025-01-22T23:00Z,50.8284,-0.1395
Leeds,3.88,broken clouds,94,3.6,1/22/25 23:25,15,National,231,233.0,high,,2025-01-22T23:00Z,53.7964,-1.5477
Glasgow,3.11,overcast clouds,94,1.54,1/22/25 23:25,16,National,231,233.0,high,,2025-01-22T23:00Z,55.8652,-4.2576
Swansea,5.65,few clouds,85,1.53,1/22/25 23:30,17,National,231,233.0,high,,2025-01-22T23:00Z,51.6208,-3.9432
Inverness,2.4,overcast clouds,93,1.54,1/23/25 0:42,1,National,219,224.0,high,,2025-01-23T00:00Z,57.4791,-4.224
Edinburgh,2.77,overcast clouds,87,0.51,1/23/25 0:44,2,National,219,224.0,high,,2025-01-23T00:00Z,55.9521,-3.1965
Manchester,4.04,mist,91,1.54,1/23/25 0:41,3,National,219,224.0,high,,2025-01-23T00:00Z,53.4809,-2.2374
Newcastle upon Tyne,0.12,broken clouds,100,1.03,1/23/25 0:44,4,National,219,224.0,high,,2025-01-23T00:00Z,54.9733,-1.614
Sheffield,4.34,light rain,90,2.44,1/23/25 0:44,5,National,219,224.0,high,,2025-01-23T00:00Z,53.383,-1.4659
Liverpool,3.82,broken clouds,94,1.54,1/23/25 0:44,6,National,219,224.0,high,,2025-01-23T00:00Z,53.4106,-2.9779
Cardiff,3.95,overcast clouds,95,1.54,1/23/25 0:44,7,National,219,224.0,high,,2025-01-23T00:00Z,51.48,-3.18
Birmingham,-2.45,clear sky,38,1.14,1/23/25 0:44,8,National,219,224.0,high,,2025-01-23T00:00Z,33.5207,-86.8025
Nottingham,2.57,scattered clouds,91,3.6,1/23/25 0:44,9,National,219,224.0,high,,2025-01-23T00:00Z,52.9536,-1.1505
Cambridge,-12.71,overcast clouds,78,5.14,1/23/25 0:41,10,National,219,224.0,high,,2025-01-23T00:00Z,43.3601,-80.3127
Bristol,-13.25,overcast clouds,70,0.7,1/23/25 0:44,11,National,219,224.0,high,,2025-01-23T00:00Z,41.8334,-71.1662
Southampton,1.79,overcast clouds,94,3.13,1/23/25 0:44,12,National,219,224.0,high,,2025-01-23T00:00Z,50.904,-1.4043
London,1.82,overcast clouds,91,2.24,1/23/25 0:40,13,National,219,224.0,high,,2025-01-23T00:00Z,51.5085,-0.1257
Brighton,1.2,overcast clouds,86,4.13,1/23/25 0:44,14,National,219,224.0,high,,2025-01-23T00:00Z,50.8284,-0.1395
Leeds,3.9,clear sky,92,2.0,1/23/25 0:44,15,National,219,224.0,high,,2025-01-23T00:00Z,53.7964,-1.5477
Glasgow,2.85,overcast clouds,94,0.51,1/23/25 0:44,16,National,219,224.0,high,,2025-01-23T00:00Z,55.8652,-4.2576
Swansea,5.29,few clouds,87,1.58,1/23/25 0:44,17,National,219,224.0,high,,2025-01-23T00:00Z,51.6208,-3.9432
Inverness,2.4,overcast clouds,91,0.51,1/23/25 1:49,1,National,214,219.0,high,,2025-01-23T01:00Z,57.4791,-4.224
Edinburgh,3.06,overcast clouds,87,0.51,1/23/25 1:45,2,National,214,219.0,high,,2025-01-23T01:00Z,55.9521,-3.1965
Manchester,4.04,mist,91,1.54,1/23/25 1:42,3,National,214,219.0,high,,2025-01-23T01:00Z,53.4809,-2.2374
Newcastle upon Tyne,1.12,overcast clouds,100,2.57,1/23/25 1:49,4,National,214,219.0,high,,2025-01-23T01:00Z,54.9733,-1.614
Sheffield,3.81,broken clouds,90,2.24,1/23/25 1:49,5,National,214,219.0,high,,2025-01-23T01:00Z,53.383,-1.4659
Liverpool,3.65,broken clouds,93,2.06,1/23/25 1:47,6,National,214,219.0,high,,2025-01-23T01:00Z,53.4106,-2.9779
Cardiff,3.93,broken clouds,91,1.54,1/23/25 1:46,7,National,214,219.0,high,,2025-01-23T01:00Z,51.48,-3.18
Birmingham,-3.21,clear sky,43,0.0,1/23/25 1:43,8,National,214,219.0,high,,2025-01-23T01:00Z,33.5207,-86.8025
Nottingham,2.55,broken clouds,92,3.6,1/23/25 1:48,9,National,214,219.0,high,,2025-01-23T01:00Z,52.9536,-1.1505
Cambridge,-12.71,scattered clouds,82,5.66,1/23/25 1:52,10,National,214,219.0,high,,2025-01-23T01:00Z,43.3601,-80.3127
Bristol,-11.37,overcast clouds,63,0.94,1/23/25 1:49,11,National,214,219.0,high,,2025-01-23T01:00Z,41.8334,-71.1662
Southampton,2.12,broken clouds,97,3.68,1/23/25 1:48,12,National,214,219.0,high,,2025-01-23T01:00Z,50.904,-1.4043
London,1.5,broken clouds,93,2.24,1/23/25 1:46,13,National,214,219.0,high,,2025-01-23T01:00Z,51.5085,-0.1257
Brighton,1.14,broken clouds,91,5.79,1/23/25 1:48,14,National,214,219.0,high,,2025-01-23T01:00Z,50.8284,-0.1395
Leeds,2.82,clear sky,95,1.89,1/23/25 1:48,15,National,214,219.0,high,,2025-01-23T01:00Z,53.7964,-1.5477
Glasgow,2.82,mist,94,1.54,1/23/25 1:47,16,National,214,219.0,high,,2025-01-23T01:00Z,55.8652,-4.2576
Swansea,5.15,scattered clouds,91,2.26,1/23/25 1:49,17,National,214,219.0,high,,2025-01-23T01:00Z,51.6208,-3.9432
Inverness,2.4,overcast clouds,94,0.0,1/23/25 3:37,1,National,193,197.0,high,,2025-01-23T03:00Z,57.4791,-4.224
Edinburgh,0.87,scattered clouds,89,1.54,1/23/25 3:30,2,National,193,197.0,high,,2025-01-23T03:00Z,55.9521,-3.1965
Manchester,3.34,overcast clouds,94,1.54,1/23/25 3:30,3,National,193,197.0,high,,2025-01-23T03:00Z,53.4809,-2.2374
Newcastle upon Tyne,1.12,overcast clouds,100,1.03,1/23/25 3:35,4,National,193,197.0,high,,2025-01-23T03:00Z,54.9733,-1.614
Sheffield,2.7,broken clouds,91,3.18,1/23/25 3:37,5,National,193,197.0,high,,2025-01-23T03:00Z,53.383,-1.4659
Liverpool,3.46,overcast clouds,93,2.06,1/23/25 3:29,6,National,193,197.0,high,,2025-01-23T03:00Z,53.4106,-2.9779
Cardiff,4.77,overcast clouds,92,1.54,1/23/25 3:30,7,National,193,197.0,high,,2025-01-23T03:00Z,51.48,-3.18
Birmingham,-4.74,clear sky,53,0.0,1/23/25 3:30,8,National,193,197.0,high,,2025-01-23T03:00Z,33.5207,-86.8025
Nottingham,2.22,few clouds,93,3.09,1/23/25 3:34,9,National,193,197.0,high,,2025-01-23T03:00Z,52.9536,-1.1505
Cambridge,-12.59,clear sky,78,2.57,1/23/25 3:34,10,National,193,197.0,high,,2025-01-23T03:00Z,43.3601,-80.3127
Bristol,-10.89,overcast clouds,67,0.72,1/23/25 3:29,11,National,193,197.0,high,,2025-01-23T03:00Z,41.8334,-71.1662
Southampton,2.09,scattered clouds,98,3.87,1/23/25 3:37,12,National,193,197.0,high,,2025-01-23T03:00Z,50.904,-1.4043
London,2.74,overcast clouds,91,3.6,1/23/25 3:31,13,National,193,197.0,high,,2025-01-23T03:00Z,51.5085,-0.1257
Brighton,0.69,scattered clouds,88,6.63,1/23/25 3:35,14,National,193,197.0,high,,2025-01-23T03:00Z,50.8284,-0.1395
Leeds,3.58,few clouds,90,2.36,1/23/25 3:30,15,National,193,197.0,high,,2025-01-23T03:00Z,53.7964,-1.5477
Glasgow,2.63,overcast clouds,94,2.06,1/23/25 3:28,16,National,193,197.0,high,,2025-01-23T03:00Z,55.8652,-4.2576
Swansea,7.58,broken clouds,94,5.95,1/23/25 3:37,17,National,193,197.0,high,,2025-01-23T03:00Z,51.6208,-3.9432
Inverness,0.44,few clouds,91,0.51,1/23/25 8:00,1,National,200,213.0,high,,2025-01-23T07:30Z,57.4791,-4.224
Edinburgh,2.19,broken clouds,89,2.68,1/23/25 8:00,2,National,200,213.0,high,,2025-01-23T07:30Z,55.9521,-3.1965
Manchester,3.27,overcast clouds,91,2.06,1/23/25 8:00,3,National,200,213.0,high,,2025-01-23T07:30Z,53.4809,-2.2374
Newcastle upon Tyne,1.12,broken clouds,93,1.03,1/23/25 8:00,4,National,200,213.0,high,,2025-01-23T07:30Z,54.9733,-1.614
Sheffield,3.26,broken clouds,91,3.82,1/23/25 7:57,5,National,200,213.0,high,,2025-01-23T07:30Z,53.383,-1.4659
Liverpool,3.02,clear sky,91,4.12,1/23/25 7:58,6,National,200,213.0,high,,2025-01-23T07:30Z,53.4106,-2.9779
Cardiff,6.84,scattered clouds,94,4.63,1/23/25 8:00,7,National,200,213.0,high,,2025-01-23T07:30Z,51.48,-3.18
Birmingham,-6.26,overcast clouds,71,1.53,1/23/25 8:00,8,National,200,213.0,high,,2025-01-23T07:30Z,33.5207,-86.8025
Nottingham,2.89,broken clouds,90,4.63,1/23/25 7:55,9,National,200,213.0,high,,2025-01-23T07:30Z,52.9536,-1.1505
Cambridge,-10.99,broken clouds,81,5.14,1/23/25 7:56,10,National,200,213.0,high,,2025-01-23T07:30Z,43.3601,-80.3127
